# scale           Yd(0,0)         Yd(0,1)         Yd(0,2)         Yd(1,0)         Yd(1,1)         Yd(1,2)         Yd(2,0)         Yd(2,1)         Yd(2,2)         Ye(0,0)         Ye(0,1)         Ye(0,2)         Ye(1,0)         Ye(1,1)         Ye(1,2)         Ye(2,0)         Ye(2,1)         Ye(2,2)         Yu(0,0)         Yu(0,1)         Yu(0,2)         Yu(1,0)         Yu(1,1)         Yu(1,2)         Yu(2,0)         Yu(2,1)         Yu(2,2)         Mu              g1              g2              g3              vd              vu              TYd(0,0)        TYd(0,1)        TYd(0,2)        TYd(1,0)        TYd(1,1)        TYd(1,2)        TYd(2,0)        TYd(2,1)        TYd(2,2)        TYe(0,0)        TYe(0,1)        TYe(0,2)        TYe(1,0)        TYe(1,1)        TYe(1,2)        TYe(2,0)        TYe(2,1)        TYe(2,2)        TYu(0,0)        TYu(0,1)        TYu(0,2)        TYu(1,0)        TYu(1,1)        TYu(1,2)        TYu(2,0)        TYu(2,1)        TYu(2,2)        BMu             mq2(0,0)        mq2(0,1)        mq2(0,2)        mq2(1,0)        mq2(1,1)        mq2(1,2)        mq2(2,0)        mq2(2,1)        mq2(2,2)        ml2(0,0)        ml2(0,1)        ml2(0,2)        ml2(1,0)        ml2(1,1)        ml2(1,2)        ml2(2,0)        ml2(2,1)        ml2(2,2)        mHd2            mHu2            md2(0,0)        md2(0,1)        md2(0,2)        md2(1,0)        md2(1,1)        md2(1,2)        md2(2,0)        md2(2,1)        md2(2,2)        mu2(0,0)        mu2(0,1)        mu2(0,2)        mu2(1,0)        mu2(1,1)        mu2(1,2)        mu2(2,0)        mu2(2,1)        mu2(2,2)        me2(0,0)        me2(0,1)        me2(0,2)        me2(1,0)        me2(1,1)        me2(1,2)        me2(2,0)        me2(2,1)        me2(2,2)        MassB           MassWB          MassG           
91.1876         0.000157087     0               0               0               0.00343938      0               0               0               0.146637        2.94903e-05     0               0               0               0.00609764      0               0               0               0.102725        7.90018e-06     0               0               0               0.00361079      0               0               0               0.898696        620.55          0.458312        0.638415        1.1156          24.8842         248.842         -0.254729       0               0               0               -5.5772         0               0               0               -221.173        -0.00921669     0               0               0               -1.90568        0               0               0               -31.9088        -0.0103004      0               0               0               -4.70779        0               0               0               -883.324        87601.1         1.28841e+06     0               0               0               1.2884e+06      0               0               0               1.0861e+06      130258          0               0               0               130255          0               0               0               129434          106694          -534225         1.20154e+06     0               0               0               1.20153e+06     0               0               0               1.18746e+06     1.21035e+06     0               0               0               1.21035e+06     0               0               0               810353          49841.5         0               0               0               49835.6         0               0               0               48163.9         199.989         380.512         1225.57         
126.784         0.000154546     0               0               0               0.00338374      0               0               0               0.14452         2.93972e-05     0               0               0               0.00607841      0               0               0               0.102408        7.81002e-06     0               0               0               0.00356958      0               0               0               0.892878        622.116         0.459671        0.63908         1.10734         24.9152         247.905         -0.245195       0               0               0               -5.36847        0               0               0               -213.424        -0.00913486     0               0               0               -1.88876        0               0               0               -31.6307        -0.00998691     0               0               0               -4.5645         0               0               0               -863.749        82327.6         1.2477e+06      0               0               0               1.24769e+06     0               0               0               1.05294e+06     129582          0               0               0               129580          0               0               0               128776          107359          -509635         1.16105e+06     0               0               0               1.16104e+06     0               0               0               1.14778e+06     1.1699e+06      0               0               0               1.16989e+06     0               0               0               784552          49765.3         0               0               0               49759.5         0               0               0               48121.3         201.308         381.685         1208.1          
176.276         0.000152075     0               0               0               0.00332964      0               0               0               0.142457        2.93041e-05     0               0               0               0.00605915      0               0               0               0.10209         7.72186e-06     0               0               0               0.00352928      0               0               0               0.887154        623.636         0.461042        0.639746        1.09925         24.9464         246.988         -0.23609        0               0               0               -5.16911        0               0               0               -206.005        -0.00905231     0               0               0               -1.87169        0               0               0               -31.35          -0.00968542     0               0               0               -4.42671        0               0               0               -844.777        77230.4         1.20867e+06     0               0               0               1.20867e+06     0               0               0               1.02116e+06     128899          0               0               0               128896          0               0               0               128109          107930          -486099         1.12227e+06     0               0               0               1.12226e+06     0               0               0               1.10975e+06     1.13115e+06     0               0               0               1.13114e+06     0               0               0               759880          49687.3         0               0               0               49681.6         0               0               0               48076.8         202.639         382.852         1191.11         
245.087         0.000149671     0               0               0               0.00327701      0               0               0               0.140446        2.92108e-05     0               0               0               0.00603987      0               0               0               0.101771        7.63562e-06     0               0               0               0.00348987      0               0               0               0.881519        625.112         0.462425        0.640413        1.09133         24.9779         246.093         -0.227388       0               0               0               -4.97859        0               0               0               -198.897        -0.00896909     0               0               0               -1.85448        0               0               0               -31.0668        -0.00939532     0               0               0               -4.29412        0               0               0               -826.378        72304.4         1.17124e+06     0               0               0               1.17123e+06     0               0               0               990688          128208          0               0               0               128205          0               0               0               127434          108415          -463561         1.0851e+06      0               0               0               1.08509e+06     0               0               0               1.07329e+06     1.094e+06       0               0               0               1.094e+06       0               0               0               736273          49607.6         0               0               0               49602.1         0               0               0               48030.3         203.983         384.014         1174.59         
340.76          0.000147332     0               0               0               0.00322579      0               0               0               0.138486        2.91174e-05     0               0               0               0.00602056      0               0               0               0.101453        7.55124e-06     0               0               0               0.00345131      0               0               0               0.875971        626.544         0.46382         0.641081        1.08358         25.0095         245.217         -0.219068       0               0               0               -4.79642        0               0               0               -192.083        -0.00888523     0               0               0               -1.83715        0               0               0               -30.7812        -0.00911601     0               0               0               -4.16646        0               0               0               -808.522        67544.5         1.13531e+06     0               0               0               1.1353e+06      0               0               0               961441          127508          0               0               0               127505          0               0               0               126750          108818          -441969         1.04946e+06     0               0               0               1.04945e+06     0               0               0               1.03831e+06     1.05838e+06     0               0               0               1.05838e+06     0               0               0               713672          49526.2         0               0               0               49520.8         0               0               0               47981.7         205.339         385.17          1158.51         
473.78          0.000145054     0               0               0               0.00317593      0               0               0               0.136574        2.9024e-05      0               0               0               0.00600124      0               0               0               0.101134        7.46865e-06     0               0               0               0.00341355      0               0               0               0.870505        627.933         0.465228        0.641751        1.07598         25.0414         244.362         -0.211108       0               0               0               -4.62214        0               0               0               -185.548        -0.00880078     0               0               0               -1.81968        0               0               0               -30.4934        -0.00884694     0               0               0               -4.04349        0               0               0               -791.183        62945.9         1.1008e+06      0               0               0               1.10079e+06     0               0               0               933356          126800          0               0               0               126797          0               0               0               126058          109146          -421275         1.01525e+06     0               0               0               1.01525e+06     0               0               0               1.00473e+06     1.0242e+06      0               0               0               1.0242e+06      0               0               0               692018          49443.1         0               0               0               49437.7         0               0               0               47931.1         206.708         386.322         1142.87         
658.725         0.000142837     0               0               0               0.00312737      0               0               0               0.134708        2.89304e-05     0               0               0               0.00598189      0               0               0               0.100814        7.38777e-06     0               0               0               0.00337659      0               0               0               0.865118        629.279         0.466648        0.642421        1.06854         25.0735         243.525         -0.203488       0               0               0               -4.4553         0               0               0               -179.276        -0.00871577     0               0               0               -1.80211        0               0               0               -30.2036        -0.00858759     0               0               0               -3.92495        0               0               0               -774.335        58504.3         1.06764e+06     0               0               0               1.06763e+06     0               0               0               906371          126084          0               0               0               126082          0               0               0               125358          109402          -401433         982416          0               0               0               982410          0               0               0               972482          991388          0               0               0               991383          0               0               0               671261          49358.1         0               0               0               49352.9         0               0               0               47878.3         208.09          387.469         1127.63         
915.867         0.000140676     0               0               0               0.00308007      0               0               0               0.132887        2.88368e-05     0               0               0               0.00596253      0               0               0               0.100494        7.30854e-06     0               0               0               0.00334038      0               0               0               0.859808        630.582         0.468081        0.643092        1.06126         25.1059         242.707         -0.19619        0               0               0               -4.29552        0               0               0               -173.255        -0.00863023     0               0               0               -1.78442        0               0               0               -29.9119        -0.00833748     0               0               0               -3.81064        0               0               0               -757.953        54215.3         1.03575e+06     0               0               0               1.03574e+06     0               0               0               880428          125360          0               0               0               125358          0               0               0               124650          109592          -382401         950874          0               0               0               950868          0               0               0               941492          959865          0               0               0               959860          0               0               0               651349          49271.3         0               0               0               49266.2         0               0               0               47823.3         209.486         388.612         1112.8          
1273.39         0.00013857      0               0               0               0.00303396      0               0               0               0.131108        2.8743e-05      0               0               0               0.00594315      0               0               0               0.100174        7.23091e-06     0               0               0               0.0033049       0               0               0               0.854571        631.844         0.469527        0.643764        1.05411         25.1384         241.907         -0.189197       0               0               0               -4.14241        0               0               0               -167.472        -0.00854421     0               0               0               -1.76664        0               0               0               -29.6183        -0.00809615     0               0               0               -3.70034        0               0               0               -742.015        50074.8         1.00507e+06     0               0               0               1.00507e+06     0               0               0               855470          124628          0               0               0               124626          0               0               0               123933          109719          -364139         920559          0               0               0               920554          0               0               0               911697          929568          0               0               0               929563          0               0               0               632239          49182.6         0               0               0               49177.6         0               0               0               47766.1         210.897         389.752         1098.34         
1770.47         0.000136518     0               0               0               0.00298902      0               0               0               0.129372        2.86492e-05     0               0               0               0.00592375      0               0               0               0.0998531       7.15483e-06     0               0               0               0.00327012      0               0               0               0.849404        633.066         0.470987        0.644438        1.04711         25.1711         241.124         -0.182493       0               0               0               -3.99562        0               0               0               -161.913        -0.00845773     0               0               0               -1.74876        0               0               0               -29.323         -0.00786317     0               0               0               -3.59386        0               0               0               -726.5          46079           975542          0               0               0               975537          0               0               0               831447          123888          0               0               0               123886          0               0               0               123209          109787          -346611         891410          0               0               0               891405          0               0               0               883036          900433          0               0               0               900429          0               0               0               613886          49092           0               0               0               49087.1         0               0               0               47706.6         212.322         390.888         1084.25         
