#  scale/GeV      gY           g2           g3           Lambdax      Yu(0,0)      Yu(0,1)      Yu(0,2)      Yu(1,0)      Yu(1,1)     Yu(1,2)     Yu(2,0)     Yu(2,1)     Yu(2,2)     Yd(0,0)     Yd(0,1)     Yd(0,2)     Yd(1,0)     Yd(1,1)     Yd(1,2)     Yd(2,0)     Yd(2,1)     Yd(2,2)     Ye(0,0)     Ye(0,1)     Ye(0,2)     Ye(1,0)     Ye(1,1)     Ye(1,2)     Ye(2,0)     Ye(2,1)     Ye(2,2)     mu2/GeV^2         v/GeV          
91.1876         0.461186        0.651098        1.21087         0.284089        7.89543e-06     0               0               0               0.00360862      0               0               0               0.97599         -1.56993e-05    0               0               0               -0.000343731    0               0               0               -0.0164409      -2.8579e-06     0               0               0               -0.000590923    0               0               0               -0.0099589      8472.27         248.992         
131.928         0.46215         0.649143        1.18191         0.267522        7.69479e-06     0               0               0               0.00351691      0               0               0               0.954464        -1.53049e-05    0               0               0               -0.000335097    0               0               0               -0.015972       -2.86801e-06    0               0               0               -0.000593014    0               0               0               -0.00999414     8580.41         248.095         
190.87          0.463118        0.647203        1.15498         0.252203        7.50849e-06     0               0               0               0.00343176      0               0               0               0.934426        -1.49389e-05    0               0               0               -0.000327082    0               0               0               -0.015538       -2.8773e-06     0               0               0               -0.000594935    0               0               0               -0.0100265      8682.91         247.274         
276.145         0.464092        0.645276        1.12984         0.237981        7.33483e-06     0               0               0               0.00335239      0               0               0               0.915702        -1.45978e-05    0               0               0               -0.000319614    0               0               0               -0.0151348      -2.88584e-06    0               0               0               -0.0005967      0               0               0               -0.0100563      8780.16         246.52          
399.52          0.465072        0.643364        1.1063          0.224731        7.1724e-06      0               0               0               0.00327815      0               0               0               0.898145        -1.42788e-05    0               0               0               -0.000312631    0               0               0               -0.0147589      -2.89369e-06    0               0               0               -0.000598323    0               0               0               -0.0100836      8872.52         245.827         
578.015         0.466057        0.641467        1.0842          0.212348        7.01999e-06     0               0               0               0.0032085       0               0               0               0.881632        -1.39797e-05    0               0               0               -0.000306081    0               0               0               -0.0144072      -2.9009e-06     0               0               0               -0.000599814    0               0               0               -0.0101088      8960.28         245.189         
836.257         0.467048        0.639584        1.0634          0.200742        6.87658e-06     0               0               0               0.00314295      0               0               0               0.866056        -1.36983e-05    0               0               0               -0.00029992     0               0               0               -0.0140773      -2.90753e-06    0               0               0               -0.000601184    0               0               0               -0.0101318      9043.72         244.603         
1209.87         0.468045        0.637715        1.04377         0.189837        6.74127e-06     0               0               0               0.0030811       0               0               0               0.851325        -1.34328e-05    0               0               0               -0.000294108    0               0               0               -0.0137669      -2.91361e-06    0               0               0               -0.000602441    0               0               0               -0.010153       9123.1          244.063         
1750.41         0.469047        0.635861        1.0252          0.179568        6.6133e-06      0               0               0               0.00302262      0               0               0               0.837361        -1.31819e-05    0               0               0               -0.000288614    0               0               0               -0.0134742      -2.91918e-06    0               0               0               -0.000603594    0               0               0               -0.0101725      9198.62         243.565         
2532.45         0.470056        0.63402         1.00761         0.169877        6.492e-06       0               0               0               0.00296718      0               0               0               0.824094        -1.29441e-05    0               0               0               -0.000283408    0               0               0               -0.0131976      -2.92428e-06    0               0               0               -0.000604649    0               0               0               -0.0101903      9270.51         243.107         
